Name,B_cells,CD8_T_cells,Macrophages,NK_cells,T_cells,Risk_Group
TCGA-DD-A116,0.2781114693928015,0.3130517601580277,0.01968921276074489,0.3491749243279057,0.3474685076240413,Low_Immune
TCGA-DD-A116,0.3535708876635971,0.3734013416864246,0.34225046471820747,0.3698116647786298,0.3806242270085229,High_Immune
TCGA-DD-A118,0.15364916244694335,0.3019967758656226,0.03730600281303347,0.26445436426037466,0.3181440744832293,Low_Immune
TCGA-DD-A118,0.2794780246553522,0.3477975134801897,0.3463205719563127,0.36459742133350065,0.3433303228764738,High_Immune
TCGA-DD-A119,0.2702587850387675,0.31708425155010217,0.2730922481532108,0.23992744370368657,0.3578120336625973,Low_Immune
TCGA-DD-A119,0.3007253996809097,0.33165270048678924,0.3959437913768315,0.36810622466069565,0.3379323237666614,High_Immune
TCGA-DD-A11A,0.12138160724812189,0.2512395443319203,0.02383367876553784,0.2884359956863997,0.2523681154129848,Low_Immune
TCGA-DD-A11A,0.3430421714852404,0.37353208816501404,0.38116065488997775,0.4315653596295919,0.38511862573985095,High_Immune
TCGA-DD-A11B,0.19286458563169423,0.27178965540775757,0.036999542863521556,0.33842389778856213,0.31657987296030343,Low_Immune
TCGA-DD-A11B,0.3640959346242629,0.3411402984226,0.05652997224980908,0.3703937324173541,0.3476892559862851,High_Immune
TCGA-DD-A11C,0.2630822308713024,0.2808265320683902,0.0583527688196834,0.3214685643155135,0.34236986519863555,Low_Immune
TCGA-DD-A11C,0.31881866447124213,0.33378814084660285,0.09249187650933757,0.40192076974134056,0.35883302802879674,High_Immune
TCGA-DD-A11D,0.2434977068818137,0.29577577237072344,0.0003401618665096355,0.2984142386475674,0.32407973354480873,Low_Immune
TCGA-DD-A11D,0.4293916288588541,0.417090664723107,0.09876505110772911,0.3731063958923677,0.3966087249377958,High_Immune
TCGA-DD-A1EA,0.3457089976965963,0.3875411433644149,0.32191979453344166,0.3046419657582866,0.3706242542216548,High_Immune
TCGA-DD-A1EB,0.23605874406114197,0.36024397478993125,0.2718170624297216,0.30014478175127024,0.3538158589106747,High_Immune
TCGA-DD-A1EB,0.3200998024903806,0.3808654986301581,0.1003344658830119,0.38288676752910783,0.36938264286084543,High_Immune
TCGA-DD-A1EC,0.31965069795817286,0.4599166674262628,0.3390647650617398,0.44103376977572123,0.48363186489833915,High_Immune
TCGA-DD-A1EC,0.3007533318827924,0.33696511120885025,0.37828484194095735,0.36572152877472036,0.33569213315951746,High_Immune
TCGA-DD-A1ED,0.32181721761727566,0.36620114157152006,0.2944328263247037,0.33820120141521287,0.3677863193900155,High_Immune
TCGA-DD-A1EE,0.17504148157636085,0.2063934837310731,0.05382813215099287,0.23777700840887991,0.26812235968912956,Low_Immune
TCGA-DD-A1EE,0.43538063136680444,0.3681832513793258,0.3472010385432465,0.37776122193818257,0.376401891095889,High_Immune
TCGA-DD-A1EF,0.4198024570495842,0.36664400184653434,0.021604261931824412,0.28277011487918297,0.3954404378639122,High_Immune
TCGA-DD-A1EG,0.3492289803767939,0.3594632292203532,0.31631214077237685,0.289295869010863,0.3994300055056692,High_Immune
TCGA-DD-A1EG,0.3292285254582672,0.3601468328560438,0.37389963683265826,0.3615737790910396,0.3650643252663086,High_Immune
TCGA-DD-A1EH,0.30524457922692405,0.31966473522416505,0.2809885981141215,0.2822698721571772,0.3370419688498914,Low_Immune
TCGA-DD-A1EH,0.31326476542427756,0.37055192873725745,0.0706931804746247,0.353303332998397,0.3658413246614477,High_Immune
