Gene,log2FC,pvalue,padj,plot_color
MVP,0.9065917470507271,6.5922465556499285e-09,5.282122914215599e-08,grey
NUB1,0.6739150154841221,5.042165854240537e-13,7.085761447478644e-12,grey
PGM3,0.153108590917977,0.24463709748923992,0.3793127855048448,grey
RWDD2A,0.4021362114860798,0.00028826380412328833,0.0010883862052705768,grey
CLK1,0.31618616107613345,0.012146863990078645,0.031201559239368147,grey
POLR3B,0.029587535049947197,0.7809303716045604,0.8324009543910553,grey
ANGEL1,0.6081413128146435,2.7207112619026987e-05,0.0001244128291248266,grey
RNF14,0.47659010277159974,2.999128318222286e-07,1.8714308817374446e-06,grey
DNASE1L1,0.5760063423906749,0.0003679540731197571,0.001361064040439162,grey
DDX11,1.67307055621524,3.6017573350119465e-19,1.1935048586939529e-17,re
HEBP1,-0.4225530334041782,9.881651767982367e-05,0.0004082589208159248,grey
GPRC5A,-1.5139398720811785,6.824699571301587e-06,3.4520886974249224e-05,b
MAMLD1,0.3422372688978891,0.17120949022514248,0.2875645150087058,grey
CD6,0.20304725810301227,0.3919028972980695,0.5328003538375627,grey
TACC3,2.168751189203874,1.2380421665111413e-27,1.2242740968835657e-25,re
UFL1,-0.1313907264893242,0.34552066066920817,0.4871245188556301,grey
POLA2,1.7694605927545115,3.0373136205947853e-30,4.276855700421061e-28,re
ZC3H3,1.4650251801907064,1.1322009857027503e-27,1.1335058272642874e-25,re
CAPN1,0.6415926687719076,3.9499729202049343e-07,2.4232422961687485e-06,grey
ACP3,-0.03631202946961296,0.904968188118688,0.9299694021897776,grey
MDH1,0.41723509018245486,0.00036156329046377187,0.0013394351919719773,grey
SLC30A9,0.24812017262043784,0.03206229438705935,0.07242748650045232,grey
MTMR11,1.8417926144672943,5.225868786081043e-13,7.342092087734911e-12,re
COX15,0.17555227095575737,0.03867851521312064,0.08495671846224208,grey
CCDC88C,0.12438800295913478,0.5256760070606151,0.6462929374589595,grey
YAF2,-0.1643401094812823,0.10080986636825663,0.1882849002541549,grey
ZMYND11,0.22750810519311046,0.06442238307193303,0.13075050717647455,grey
WAS,-0.032646669866806574,0.8243849722380384,0.8677534339507641,grey
DPEP1,0.9797046495020243,0.01366881340936085,0.03464913800940787,grey
BID,0.6382817078296862,1.0308257018433415e-07,6.941630680332054e-07,grey
MATR3,0.7220921950164064,0.0013798153271534514,0.004530462233272721,grey
NPC1L1,-2.3182704132302834,9.391551218026675e-06,4.648439161341832e-05,b
XYLT2,1.0074371365023669,1.6247840102232667e-18,4.953748873501984e-17,re
RGPD5,0.11851191026362132,0.19697840468290131,0.3214562318040469,grey
